COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
2,4177.44,4088.72,4507.69,4144.62,3891.28,4334.36,4073.85,4482.56,4278.46,3908.21,4810.26,4233.33,4203.08,4413.85,1617,1595,70.394,0,0,0,0,
3,4192.31,4100,4521.03,4143.08,3895.9,4341.03,4084.1,4501.54,4301.54,3929.74,4819.49,4253.33,4211.79,4432.82,1617,1597,70.402,0,0,0,0,
4,4185.64,4084.62,4512.31,4115.9,3883.08,4335.9,4081.03,4489.74,4295.9,3925.13,4815.38,4250.26,4206.67,4432.31,1618,1597,70.41,0,0,0,0,
5,4177.95,4073.85,4503.59,4119.49,3881.54,4324.62,4072.82,4470.26,4269.23,3904.62,4809.74,4235.9,4208.72,4416.92,1618,1597,70.418,0,0,0,0,
6,4183.08,4084.62,4506.67,4141.54,3895.38,4320.51,4071.28,4477.44,4269.74,3900,4813.33,4234.36,4213.33,4413.85,1619,1596,70.426,0,0,0,0,
7,4176.92,4091.28,4498.46,4131.79,3897.95,4321.54,4066.67,4477.95,4279.49,3909.23,4811.79,4233.85,4205.13,4415.38,1619,1595,70.433,0,0,0,0,
8,4158.97,4072.31,4483.08,4113.33,3883.08,4316.92,4060,4461.03,4275.38,3910.26,4792.82,4221.54,4188.21,4398.46,1619,1594,70.442,0,0,0,0,
9,4158.97,4056.41,4487.69,4122.56,3873.33,4315.38,4068.21,4467.69,4277.44,3907.18,4794.87,4222.05,4188.72,4396.41,1617,1593,70.449,0,0,0,0,
10,4173.33,4066.15,4498.46,4128.72,3875.9,4322.56,4078.97,4483.59,4282.05,3917.44,4820,4236.92,4204.62,4416.41,1618,1591,70.457,0,0,0,0,
11,4174.36,4079.49,4495.38,4124.1,3889.74,4329.74,4076.92,4470.77,4271.28,3920,4814.36,4238.97,4197.44,4417.44,1617,1591,70.465,0,0,0,0,
12,4160.51,4078.97,4489.23,4127.18,3889.74,4320.51,4066.15,4453.85,4259.49,3898.97,4790.26,4222.56,4172.31,4401.54,1617,1592,70.473,0,0,0,0,
13,4151.79,4064.62,4490.77,4124.1,3870.26,4306.67,4053.85,4455.9,4260.51,3889.23,4791.28,4216.41,4171.79,4397.44,1616,1593,70.48,0,0,0,0,
14,4152.82,4060.51,4488.21,4122.56,3881.54,4314.36,4051.79,4457.95,4265.64,3904.1,4800,4221.54,4186.15,4400,1616,1593,70.488,0,0,0,0,
15,4164.1,4079.49,4483.59,4139.49,3904.1,4321.54,4060,4458.46,4266.15,3907.69,4801.03,4226.67,4185.13,4402.05,1617,1592,70.496,0,0,0,0,
16,4168.72,4083.08,4482.56,4142.05,3886.15,4313.33,4065.13,4462.56,4264.1,3895.38,4798.97,4225.64,4175.9,4399.49,1615,1593,70.504,0,0,0,0,
17,4160.51,4065.64,4481.03,4127.18,3874.36,4313.85,4062.05,4458.97,4259.49,3890.26,4791.79,4217.44,4168.21,4392.31,1617,1592,70.512,0,0,0,0,
18,4162.56,4074.36,4489.23,4136.92,3901.54,4328.72,4066.67,4457.95,4267.69,3905.64,4791.79,4223.59,4175.9,4402.56,1615,1593,70.519,0,0,0,0,
19,4173.85,4091.28,4501.54,4151.79,3906.15,4328.72,4068.21,4463.59,4279.49,3912.31,4798.97,4232.82,4190.26,4411.79,1616,1594,70.527,0,0,0,0,
20,4171.79,4086.15,4498.97,4142.05,3887.69,4317.44,4062.56,4460.51,4270.26,3901.54,4803.08,4226.15,4186.15,4405.13,1616,1593,70.535,0,0,0,0,
21,4164.62,4085.13,4489.23,4133.33,3893.33,4317.95,4069.23,4453.33,4260,3901.03,4802.05,4217.44,4174.87,4402.05,1617,1595,70.544,0,0,0,0,
22,4168.21,4086.67,4490.26,4141.54,3894.87,4325.64,4077.95,4455.38,4274.87,3913.85,4798.46,4218.46,4188.72,4404.62,1616,1595,70.552,0,0,0,0,
23,4168.21,4075.38,4496.41,4143.59,3872.82,4316.92,4066.67,4455.9,4284.1,3915.38,4795.9,4218.97,4205.64,4401.54,1617,1595,70.559,0,0,0,0,
24,4165.13,4071.28,4501.54,4136.92,3876.92,4309.74,4062.56,4456.41,4277.44,3905.64,4794.87,4220,4194.87,4402.56,1617,1594,70.566,0,0,0,0,
25,4165.64,4079.49,4505.13,4141.54,3898.97,4319.49,4074.87,4460.51,4276.92,3905.13,4794.36,4223.59,4179.49,4406.67,1616,1594,70.574,0,0,0,0,
26,4165.13,4084.1,4505.64,4153.33,3895.38,4322.05,4069.23,4454.36,4266.15,3903.08,4797.44,4221.54,4185.64,4404.62,1618,1591,70.582,0,0,0,0,
27,4170.26,4091.28,4511.28,4159.49,3888.21,4316.92,4064.1,4451.79,4265.64,3911.79,4811.79,4228.21,4203.59,4412.82,1619,1592,70.59,0,0,0,0,
28,4173.33,4094.87,4514.87,4158.97,3898.97,4326.15,4075.9,4462.56,4286.67,3926.15,4815.9,4234.36,4207.69,4419.49,1619,1591,70.598,0,0,0,0,
29,4166.67,4084.1,4510.26,4153.33,3898.97,4329.74,4072.82,4461.54,4282.56,3917.95,4798.46,4227.69,4198.46,4409.23,1618,1592,70.606,0,0,0,0,
30,4166.15,4077.95,4516.41,4139.49,3889.74,4320,4064.62,4456.92,4278.46,3916.92,4800.51,4229.23,4202.56,4411.79,1619,1592,70.613,0,0,0,0,
31,4173.33,4083.08,4526.15,4135.38,3896.92,4321.03,4073.85,4471.28,4310.77,3941.54,4824.1,4235.9,4215.9,4428.72,1619,1592,70.621,0,0,0,0,
32,4170.77,4081.03,4524.1,4151.28,3900.51,4329.23,4079.49,4478.97,4323.59,3947.18,4823.59,4232.82,4213.33,4428.72,1621,1594,70.63,0,0,0,0,
33,4164.62,4073.85,4520,4157.95,3883.08,4330.26,4072.82,4468.72,4299.49,3926.15,4803.08,4232.31,4202.56,4414.87,1619,1594,70.637,0,0,0,0,
34,4167.69,4074.87,4521.03,4145.64,3872.31,4326.15,4069.23,4458.97,4288.21,3920,4797.44,4227.69,4201.54,4409.74,1620,1596,70.645,0,0,0,0,
35,4171.79,4083.59,4522.05,4143.59,3885.13,4328.21,4073.33,4461.54,4290.26,3926.67,4804.62,4218.46,4207.69,4411.28,1620,1596,70.652,0,0,0,0,
36,4172.31,4086.67,4523.08,4158.46,3899.49,4336.41,4078.46,4471.79,4293.33,3936.41,4812.31,4225.13,4215.9,4414.87,1619,1597,70.661,0,0,0,0,
37,4169.23,4077.44,4524.1,4157.44,3898.97,4331.79,4075.38,4471.79,4298.97,3947.18,4811.28,4233.33,4215.9,4412.82,1620,1596,70.668,0,0,0,0,
38,4164.62,4068.21,4520.51,4142.05,3892.82,4325.64,4071.79,4463.59,4295.9,3936.41,4797.95,4222.05,4206.15,4406.67,1618,1596,70.676,0,0,0,0,
39,4164.62,4076.41,4518.46,4146.15,3892.82,4331.28,4076.92,4462.56,4293.85,3927.18,4798.97,4218.46,4209.74,4413.85,1619,1596,70.684,0,0,0,0,
40,4170.77,4089.74,4522.05,4158.46,3896.92,4331.79,4075.9,4463.59,4294.36,3933.33,4812.82,4231.79,4217.44,4423.08,1618,1595,70.692,0,0,0,0,
41,4179.49,4089.23,4524.62,4155.38,3898.46,4325.64,4074.36,4461.03,4299.49,3938.97,4814.36,4233.85,4214.36,4420,1617,1595,70.7,0,0,0,0,
42,4192.82,4088.21,4524.62,4155.9,3893.85,4326.67,4084.1,4472.31,4324.1,3952.82,4817.95,4230.77,4225.13,4422.56,1617,1593,70.707,0,0,0,0,
43,4200,4092.82,4525.64,4160.51,3890.26,4326.15,4082.56,4480.51,4325.13,3963.59,4822.56,4235.9,4235.9,4431.28,1616,1593,70.715,0,0,0,0,
44,4192.31,4088.72,4525.13,4152.82,3890.26,4318.97,4068.21,4469.74,4296.41,3944.62,4811.28,4233.85,4219.49,4429.74,1616,1593,70.723,0,0,0,0,
45,4179.49,4077.95,4517.44,4146.67,3893.33,4316.41,4061.54,4458.46,4293.85,3931.79,4807.18,4225.64,4213.85,4421.03,1616,1594,70.731,0,0,0,0,
46,4181.54,4081.03,4511.79,4154.87,3903.08,4330.26,4066.15,4460,4310.77,3952.31,4816.41,4227.69,4241.54,4421.54,1617,1592,70.739,0,0,0,0,
47,4196.92,4093.85,4516.92,4158.97,3906.67,4340,4069.74,4464.62,4304.1,3962.05,4816.41,4230.77,4256.41,4424.1,1618,1593,70.747,0,0,0,0,
